COD;DIRECCION;COMUNA;BARRIO;EAS;NIDO;NIDO_;MODALIDAD;CONTACTO;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;V_19;V_20;V_21
1;K 8 # 51 N - 35;4;OLAYA HERRERA;COMFANDI;PRESBITERO ANGEL PIEDRAHITA;DGF_MI_NIDO PRESBITERO ANGEL PIEDRAHITA;INSTITUCIONAL;3155305756;120;126;105,0;63;63;0;126;0;48;78;1;0;0;126;10;0;0;0;0;8;21
2;C 126  #  26 - 15;21;REMANSOS DE COMFANDI;COMFANDI;CARIÑO REMANSO;DGF_MI_ NIDO CARIÑO REMANSO;INSTITUCIONAL;3215154936;244;229;93,9;101;128;0;229;0;32;197;0;6;0;223;8;0;0;0;0;7;23
3;C 57 # 24 A - 03;12;NUEVA FLORESTA;FE Y ALEGRIA;MI BOSQUECITO;FYA_MI_NIDO MI BOSQUECITO;INSTITUCIONAL;3015722092;100;99;99,0;48;51;0;99;0;11;88;0;7;0;92;5;0;0;0;0;5;15
4;C 4C O # 76B1 - 10;18;ALTO LOS CHORROS;FE Y ALEGRIA;CENTRO DE SOLIDARIDAD LA ESPERANZA CESOLES;FYA_MI_NIDO CENTRO DE SOLIDARIDAD LA ESPERANZA CE;INSTITUCIONAL;3152447996;100;100;100,0;52;48;0;100;0;21;79;0;0;0;100;4;0;0;0;0;4;14
5;K 84A BIS # 7A - 01;7;ALFONSO LOPEZ;DIGNIFICAR;ALFONSO LOPEZ PUMAREJO;DGF_MI_NIDO_ALFONSO LOPEZ PUMAREJO;INSTITUCIONAL;3002422350;40;37;92,5;17;20;0;37;0;9;28;0;1;0;36;0;0;0;0;0;2;8
6;C 40 # 41F - 00;16;UNION DE VIVIENDA POPULAR;DIGNIFICAR;ANGELICA SIERRA;DGF_MI_NIDO_ANGELICA SIERRA;INSTITUCIONAL;3187447768;40;41;102,5;18;23;0;41;0;8;33;0;0;1;40;1;0;0;0;0;2;8
7;C 54 # 15A - 24;8;EL TREBOL;DIGNIFICAR;CACIQUE DE GUATAVITA;DGF_MI_NIDO CACIQUE GUATAVITA;INSTITUCIONAL;3106565108;40;40;100,0;25;15;0;40;0;8;32;0;0;0;40;1;0;0;0;0;2;9
8;C 21 O # 6 - 73;1;TERRON COLORADO;DIGNIFICAR;CASA DE LA PAZ;DGF_MI_NIDO_CASA DE LA PAZ;INSTITUCIONAL;3105655108;40;39;97,5;20;19;0;39;0;9;30;0;0;1;38;2;0;0;0;0;1;6
9;C 44 # 41F - 00;16;UNION DE VIVIENDA POPULAR;DIGNIFICAR;CRISTO MAESTRO;DGF_MI_NIDO_CRISTO MAESTRO;INSTITUCIONAL;3154660937;40;38;95,0;20;18;0;38;0;6;32;1;0;0;38;2;0;0;0;0;2;6
10;K 15 # 6 - 110;9;ALAMEDA;DIGNIFICAR;DIVINO SALVADOR;DGF_MI_NIDO_DIVINO SALVADOR;INSTITUCIONAL;3015722092;50;48;96,0;23;25;0;48;0;2;46;0;0;1;47;3;0;0;0;0;2;8
11;C 57 # 12D - 17;8;LA BASE;DIGNIFICAR;EL TREBOL;DGF_MI_NIDO_EL TREBOL;INSTITUCIONAL;3106565108;39;38;97,4;18;20;0;38;0;3;35;0;0;0;38;2;0;0;0;0;2;10
12;C 40 # 43 B - 00;16;REP├ÜBLICA DE ISRAEL;DIGNIFICAR;FRANCISCO DE J RUIZ;DGF_MI_NIDO_FRANCISCO DE J. RUIZ;INSTITUCIONAL;3154660397;40;37;92,5;21;16;0;37;0;4;33;0;1;0;36;1;0;0;0;0;3;6
13;C 3A # 22 - 43;3;LOS LIBERTADORES;DIGNIFICAR;FUNDACION CARIÑO;DGF_MI_NIDO_FUNDACION CARIÑO;INSTITUCIONAL;3002422350;120;119;99,2;60;59;0;119;0;28;91;1;0;10;109;5;0;0;0;0;7;19
14;K 12 # 10 - 60;3;EL CALVARIO;DIGNIFICAR;FUNDACION SAMARITANOS DE LA CALLE;DGF_MI_NIDO FUNDACION SAMARITANOS DE LA CALLE;INSTITUCIONAL;3013400474;40;22;55,0;10;12;0;22;0;8;14;0;0;0;22;0;0;0;0;0;2;9
15;C 18A # 24A - 65;10;SANTA ELENA;DIGNIFICAR;GENERAL CARLOS ALBAN;DGF_MI_NIDO_GENERAL CARLOS ALBAN;INSTITUCIONAL;3002422360;60;60;100,0;25;35;0;60;0;9;51;0;0;1;59;3;0;0;0;0;3;10
16;K 26A # 74 - 04;14;NACIONAL;DIGNIFICAR;GOTICAS DE AGUA DULCE;DGF_MI_NIDO_GOTICAS DE AGUA DULCE;INSTITUCIONAL;3002422350;90;91;101,1;41;50;0;91;0;10;81;0;2;2;87;3;0;0;0;0;4;12
17;K 12 # 38 - 58;8;LAS AMERICAS;DIGNIFICAR;INSTITUCIÓN EDUCATIVA LAS AMERICAS;DGF_MI_NIDO_INSTITUCION EDUCATIVA LAS AMERICAS;INSTITUCIONAL;3184880051;40;46;115,0;27;19;0;46;0;1;45;0;0;0;46;3;0;0;0;0;1;6
18;C 96 # 28E - 02;15;MOJICA;DIGNIFICAR;ISAIAS DUARTE CANCINO;DGF_MI_NIDO_ISAIAS DUARTE CANCINO;INSTITUCIONAL;3128073549;85;60;70,6;31;29;0;60;0;12;48;0;0;0;60;0;0;0;0;0;4;12
19;C 41 # 5 N - 23;4;POPULAR;DIGNIFICAR;JOSE IGNACIO RENGIFO;DGF_MI_NIDO_JOSE IGNACIO RENGIFO;INSTITUCIONAL;3215154936;40;38;95,0;13;25;0;38;0;5;33;0;0;0;38;3;0;0;0;0;2;7
20;K 28C # 50 - 16;12;EL SINDICAL;DIGNIFICAR;JUAN XXIII;DGF_MI_NIDO_JUAN XXIII;INSTITUCIONAL;3167571970;40;40;100,0;20;20;0;40;0;5;35;0;3;0;37;0;0;0;0;0;2;7
21;C 35E # 30 - 34;11;CONQUISTADORES;DIGNIFICAR;JULIO ARBOLEDA;DGF_MI_NIDO_JULIO ARBOLEDA;INSTITUCIONAL;3167571970;39;41;105,1;21;20;0;41;0;14;27;0;1;2;38;2;0;0;0;0;2;8
22;C 5 O # 18 - 02;3;NACIONAL;DIGNIFICAR;MARIA PERLAZA;DGF_MI_NIDO_MARIA PERLAZA;INSTITUCIONAL;3003002046;50;42;84,0;21;21;0;42;0;13;29;0;0;0;42;1;0;0;0;0;2;7
23;C 30 BIS # 4 A - 00;1;LA LEGUA;DIGNIFICAR;MARICE SINISTERRA;DGF_MI_NIDO MARICE SINISTERRA;INSTITUCIONAL;3106565108;40;40;100,0;19;21;0;40;0;8;32;0;0;0;40;0;0;0;0;0;2;9
24;C 76 # 2 - 0;5;GUAYACANES;DIGNIFICAR;NIDO LAS GARZAS;DGF_MI_NIDO_NIDO_LAS GARZAS;INSTITUCIONAL;3015722092;82;85;103,7;38;47;0;85;0;3;82;0;1;0;84;2;0;0;0;0;3;11
25;C 7 O # 54 - 95;20;BELISARIO CAICEDO;DIGNIFICAR;NUESTRA SEÑORA DE CHIQUINQUIRA;DGF_MI_NIDO_NUESTRA SEÑORA DE CHIQUINQUIRA;INSTITUCIONAL;3152447996;40;54;135,0;24;30;0;54;0;6;48;0;0;0;54;0;0;0;0;0;2;10
26;K 10 # 28 - 10;8;INDUSTRIAL;DIGNIFICAR;NUESTRA SEÑORA DE FATIMA;DGF_MI_NIDO_NUESTRA SEÑORA DE FATIMA;INSTITUCIONAL;3154660397;40;36;90,0;17;19;0;36;0;10;26;0;1;0;35;4;0;0;0;0;1;8
27;C 73 # 28 - 26;14;BONILLA ARAGON;DIGNIFICAR;NUEVO LATIR;DGF_MI_NIDO CARIÑO NUEVO LATIR ;INSTITUCIONAL;3205014542;250;247;98,8;139;108;0;247;0;42;205;1;16;3;228;3;0;0;0;0;10;23
28;K 39D # 38 - 44;16;ANTONIO NARI├æO;DIGNIFICAR;PABLO NERUDA;DGF_MI_NIDO_PABLO NERUDA;INSTITUCIONAL;3154660397;40;35;87,5;14;21;0;35;0;6;29;0;0;0;35;1;0;0;0;0;2;7
29;C 45A N # 1 - 55;4;MARCO FIDEL SUAREZ;DIGNIFICAR;RAFAEL ZAMORANO;DGF_MI_NIDO_RAFAEL ZAMORANO;INSTITUCIONAL;3013400474;40;39;97,5;20;19;0;39;0;5;34;0;0;0;39;3;0;0;0;0;2;7
30;K 30 # 44A - 21;16;EL POBLADO 1;DIGNIFICAR;RODRIGO LLOREDA;DGF_MI_NIDO_RODRIGO LLOREDA;INSTITUCIONAL;3167571970;40;42;105,0;16;26;0;42;0;5;37;0;0;0;42;1;0;0;0;0;2;7
31;C 74 # 9 - 09;7;ANDRES SANIN;DIGNIFICAR;SAN JUAN BAUTISTA DE LA SALLE;DGF_MI_NIDO_SAN JUAN BAUTISTA DE LA SALLE;INSTITUCIONAL;3002422350;40;38;95,0;16;22;0;38;0;5;33;0;0;0;38;4;0;0;0;0;2;8
32;K 83 # 1B O - 25;18;ALTO NAPOLES;DIGNIFICAR;SANTA TERESITA DE JESUS;DGF_MI_NIDO_SANTA TERESITA DE JESUS;INSTITUCIONAL;3128073549;60;54;90,0;32;22;0;54;0;18;36;0;0;1;53;0;0;0;0;0;2;11
33;C 18 # 8A - 15;9;SUCRE;ARANGO Y CUERO;NIDO COLIBRI;AYC_MI_NIDO COLIBRI;INSTITUCIONAL;5567210;280;255;91,1;123;132;0;255;5;116;134;0;5;133;117;14;0;0;0;0;14;31
34;K 28C # 33G - 05;12;EL PARAISO;COMFANDI;NIDO ARCO IRIS ;CFD_MI_NIDO ARCO IRIS ;INSTITUCIONAL;3163560645;200;198;99,0;96;102;0;198;0;48;150;0;1;0;197;7;0;0;0;0;10;25
35;C 57 # 47A - 01;15;LLANO VERDE;COMFANDI;NIDO CALIDA ;CFD_MI_NIDO CALIDA ;INSTITUCIONAL;3114705302;160;153;95,6;73;80;0;153;0;34;119;1;10;0;143;1;0;0;0;0;8;20
36;C 14 # 47 - 04;10;LA SELVA;COMFANDI;NIDO LA SELVA;CFD_MI_NIDO LA SELVA;INSTITUCIONAL;3154928415;200;199;99,5;105;94;0;199;0;14;185;4;0;0;199;9;0;0;0;0;9;24
37;C 121B # 28B - 05;21;POTRERO GRANDE;COMFANDI;NIDO POTRERO GRANDE;CFD_MI_NIDO POTRERO GRANDE;INSTITUCIONAL;3128143669;220;219;99,5;114;105;0;219;0;35;184;0;0;0;219;1;0;0;0;0;9;24
38;C 69 # 7C1  BIS - 04;7;SAN MARINO;COMFANDI;NIDO SAN MARINO ;CFD_MI_NIDO SAN MARINO ;INSTITUCIONAL;3104294346;200;200;100,0;103;97;0;200;0;10;190;1;7;2;191;14;0;0;0;0;9;24
39;D 28B # 42B - 20;11;VILLA DEL SUR;FUNSACE;NIDO VILLA DEL SUR ;FSC_MI_ NIDO VILLA DEL SUR ;INSTITUCIONAL;3759097;200;202;101,0;103;99;0;202;0;51;151;0;2;3;197;5;0;0;0;0;11;26
40;K 100A O # 2 - 1;18;ALTOS DE SANTA ELENA;FE Y ALEGRIA;NIDO ALTOS DE SANTA ELENA;FYA_MI_NIDO ALTOS DE SANTA ELENA;INSTITUCIONAL;3002177359;300;298;99,3;142;156;0;298;6;52;240;2;0;1;297;4;0;0;0;0;16;35
41;3.495555556,-76.55305556;65;GOLONDRINAS;COMFANDI;ARCOIRIS GOLONDRINAS;CFD_MF_ARCOIRIS  GOLONDRINAS;FAMILIAR;3172523927;18;18;100,0;7;11;18;0;4;5;7;0;0;2;14;0;0;1;1;2;1;7
42;K 32 # 34 - 17;11;LEON 13;COMFANDI;ARCOIRIS  LEON 13;CFD_MF_ARCOIRIS  LEON 13;FAMILIAR;3172523927;50;46;92,0;24;22;46;0;15;29;0;0;0;0;44;0;0;1;1;2;1;7
43;C 42 # 11 - 18;64;MONTEBELLO;COMFANDI;ARCOIRIS  MONTEBELLO;CFD_MF_ARCOIRIS  MONTEBELLO;FAMILIAR;3164676188;50;48;96,0;30;18;48;0;12;19;12;0;0;0;43;1;0;3;2;5;1;7
44;A 42 O # 11 - 18;64;MONTEBELLO;COMFANDI;ARCOIRIS  MONTEBELLO 2;CFD_MF_ARCOIRIS  MONTEBELLO 2;FAMILIAR;3172523927;14;12;85,7;4;8;12;0;2;9;1;0;0;0;12;0;0;0;0;0;1;7
45;K 28 # 33E - 70;12;EL PARAISO;COMFANDI;ARCOIRIS / ARCOIRIS;CFD_MF_ARCOIRIS / ARCOIRIS;FAMILIAR;3172523927;50;44;88,0;28;16;44;0;13;23;0;0;0;0;36;0;1;3;4;8;0;6
46;3.467777778,-76.63027778;59;FELIDIA;COMFANDI;ARCOIRIS FELIDIA ;CFD_MF_ARCOIRIS FELIDIA ;FAMILIAR;3172523927;50;49;98,0;30;19;49;0;12;13;19;0;0;1;43;0;1;3;1;5;1;7
47;3.496388889,-76.57694444;62;LA CASTILLA;COMFANDI;ARCOIRIS LA CASTILLA;CFD_MF_ARCOIRIS LA CASTILLA;FAMILIAR;3172523927;18;17;94,4;10;7;17;0;2;9;4;0;0;0;15;0;0;0;2;2;1;7
48;3.520833333,-76.60666667;61;LA ELVIRA;COMFANDI;ARCOIRIS LA ELVIRA;CFD_MF_ARCOIRIS LA ELVIRA;FAMILIAR;3172523927;50;49;98,0;25;24;49;0;9;14;23;0;0;2;44;0;0;3;0;3;1;7
49;C 96 # 28E - 02;15;MOJICA;COMFANDI;ISAIAS_ANDROMEDA;CFD_MF_ISAIAS_ANDROMEDA;FAMILIAR;3153175733;50;46;92,0;30;16;46;0;16;21;0;0;0;0;37;0;3;3;3;9;1;7
50;C 96 # 28E - 02;15;MOJICA;COMFANDI;ISAIAS_CENTAURO;CFD_MF_ISAIAS_CENTAURO;FAMILIAR;3153175733;50;51;102,0;30;21;51;0;15;28;1;1;0;0;44;0;0;3;4;7;1;7
